step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
98,31048,392,0.4468841732414145,0.0,0.7014925373134329
99,31244,396,0.5405681267933256,0.0,0.7428571428571429
100,31472,400,0.41515047711822145,0.0,0.7910447761194029
101,31764,404,0.3808373077613089,0.0,0.6901408450704225
102,32056,408,0.5860006353709485,0.0,0.7431192660550459
103,32380,412,0.5420793520188081,0.0,0.7391304347826086
104,32832,416,0.45574325568367247,0.0,0.8156424581005587
105,33060,420,0.47128257020861763,0.0,0.7413793103448276
106,33320,424,0.394940658643404,0.0,0.7469879518072289
107,33484,428,0.5969286098710971,0.0,0.6825396825396826
108,33744,432,0.3933506735094707,0.0,0.6956521739130435
109,34132,436,0.39805040296549765,0.0,0.7589285714285714
110,34360,440,0.37271163954382447,0.0,0.75
111,34556,444,0.6062917191015097,0.0,0.7368421052631579
112,34912,448,0.3223774620161595,0.0,0.7378640776699029
113,35172,452,0.7478103929422537,0.0,0.719626168224299
114,35400,456,0.7770394089145183,0.0,0.6666666666666666
115,35660,460,0.3380092405046117,0.0,0.7714285714285715
116,35888,464,0.321720823738064,0.0,0.8064516129032258
117,36276,468,0.4598179642579238,0.0,0.6990291262135923
118,36696,472,0.40043701141709415,0.0,0.732824427480916
119,37276,476,0.3122000626713795,0.0,0.8106508875739645
120,37568,480,0.43155621993604276,0.0,0.7628865979381443
121,37828,484,0.3364945693639402,0.0,0.8157894736842105
122,38088,488,0.3827935617098197,0.0,0.7564102564102564
123,38412,492,0.431774984073253,0.0,0.7560975609756098
124,38832,496,0.34209566505560673,0.0,0.7010309278350515
125,39188,500,0.46164281730709206,0.0,0.67
126,39608,504,0.36681635094744836,0.0,0.7350427350427351
127,39932,508,0.648783789453369,0.0,0.7348484848484849
128,40224,512,0.4355525831380325,0.0,0.7183098591549296
129,40516,516,0.37930658012810703,0.0,0.7402597402597403
130,40808,520,0.3753569261559024,0.0,0.7843137254901961
131,41132,524,0.5340001007638185,0.0,0.7565217391304347
132,41424,528,0.36986969621412996,0.0,0.8080808080808081
133,41908,532,0.38165092278786106,0.0,0.7327586206896551
134,42072,536,0.5028547830593034,0.0,0.746031746031746
135,42492,540,0.44717363175182523,0.0,0.793939393939394
136,43008,544,0.3057125871137646,0.0,0.773109243697479
137,43428,548,0.2827439474959613,0.0,0.7961165048543689
138,43784,552,0.4339462211927112,0.0,0.788135593220339
139,44012,556,0.5778692237674413,0.0,0.6944444444444444
140,44400,560,0.5174310144755676,0.0,0.7784431137724551
141,44692,564,0.4546666120896538,0.0,0.6538461538461539
142,44984,568,0.42101654730815674,0.0,0.7101449275362319
143,45308,572,0.4391450049292132,0.0,0.7476635514018691
144,45600,576,0.2806266557675877,0.0,0.7746478873239436
145,45860,580,0.5483521755371635,0.0,0.6951219512195121
146,46088,584,0.405922480801229,0.0,0.7746478873239436
147,46476,588,0.23616661392116234,0.0,0.7951807228915663
148,46928,592,0.40769796181028317,0.0,0.7338709677419355
149,47316,596,0.3841269340289042,0.0,0.7719298245614035
150,47544,600,0.7287583824604172,0.0,0.7209302325581395
151,47900,604,0.3811761778274843,0.0,0.75
152,48192,608,0.3977167598691484,0.0,0.7608695652173914
153,48356,612,0.5999805306292509,0.0,0.7391304347826086
154,48744,616,0.3381899216021929,0.0,0.7788461538461539
155,48940,620,0.370318219473373,0.0,0.8
156,49232,624,0.39312105815979215,0.0,0.7205882352941176
157,49652,628,0.34616949007727843,0.0,0.7657657657657657
158,49880,632,0.5244790507738514,0.0,0.7532467532467533
159,50364,636,0.3884102947578455,0.0,0.7625
160,50592,640,0.5891725313936202,0.0,0.7941176470588235
161,50948,644,0.3188799593990815,0.0,0.7983193277310925
162,51176,648,0.658926488628843,0.0,0.7065217391304348
163,51372,652,0.52309823908222,0.0,0.7777777777777778
164,51600,656,0.33296209548170996,0.0,0.7878787878787878
165,51956,660,0.4109395481523478,0.0,0.7475728155339806
166,52376,664,0.28249565848837094,0.0,0.7818181818181819
167,52700,668,0.3304018714185013,0.0,0.72
168,52960,672,0.47905219074880256,0.0,0.7435897435897436
169,53412,676,0.31258423829896503,0.0,0.7307692307692307
170,53832,680,0.4561563161588805,0.0,0.7518796992481203
171,54060,684,0.7707017651086119,0.0,0.6767676767676768
172,54320,688,0.44006186832553906,0.0,0.6875
173,54548,692,0.44411851924453266,0.0,0.7285714285714285
174,54840,696,0.42723293861212797,0.0,0.7066666666666667
175,55164,700,0.38083766342153863,0.0,0.79
176,55488,704,0.4637866957179432,0.0,0.8188405797101449
177,55780,708,0.453404925883191,0.0,0.7014925373134329
178,56168,712,0.392449953451434,0.0,0.7614678899082569
179,56492,716,0.47715510630188557,0.0,0.7345132743362832
180,56752,720,0.5851692911507781,0.0,0.7311827956989247
181,57012,724,0.35204827881842615,0.0,0.7702702702702703
182,57208,728,0.45943442821576436,0.0,0.7368421052631579
183,57564,732,0.4183941041325554,0.0,0.7623762376237624
184,57760,736,0.4680374388743655,0.0,0.7538461538461538
185,58148,740,0.47771072786694085,0.0,0.7746478873239436
186,58440,744,0.5306296264975342,0.0,0.7066666666666667
187,58732,748,0.3516583068018674,0.0,0.7835051546391752
188,59056,752,0.3487903427183758,0.0,0.77
189,59412,756,0.3924729524915632,0.0,0.7815126050420168
190,59704,760,0.5518411135508816,0.0,0.7272727272727273
191,60060,764,0.363376527106484,0.0,0.7931034482758621
192,60288,768,0.49363147993698736,0.0,0.7619047619047619
193,60580,772,0.44949328065176214,0.0,0.7572815533980582
194,60936,776,0.31742925871581246,0.0,0.7613636363636364
195,61644,780,0.24537832986101035,0.0,0.7443609022556391
196,61936,784,0.37636268057685807,0.0,0.7912087912087912
197,62196,788,0.7921265374236673,0.0,0.6666666666666666
198,62616,792,0.3450661894159052,0.0,0.808695652173913
199,62940,796,0.275741415420684,0.0,0.7974683544303798
200,63136,800,0.8085262310748081,0.0,0.6986301369863014
201,63460,804,0.4258821417079627,0.0,0.8016528925619835
202,63720,808,0.5250078952356517,0.0,0.7311827956989247
203,64108,812,0.3631432114415342,0.0,0.8134328358208955
204,64368,816,0.35779130747748583,0.0,0.7692307692307693
205,64596,820,0.460910475750388,0.0,0.7671232876712328
206,64856,824,0.5614106091623075,0.0,0.6823529411764706
207,65372,828,0.5097280761665149,0.0,0.7298850574712644
208,65856,832,0.3076246584332727,0.0,0.7203389830508474
209,66116,836,0.5118630847648774,0.0,0.7685185185185185
210,66504,840,0.26507992659732244,0.0,0.76
211,66796,844,0.3377166500708586,0.0,0.8442622950819673
212,67152,848,0.3925632048989898,0.0,0.7818181818181819
213,67444,852,0.4324005988521953,0.0,0.7027027027027027
214,67640,856,0.44404925474369344,0.0,0.7419354838709677
215,67868,860,0.4498701688892975,0.0,0.7435897435897436
216,68096,864,0.6881933175434811,0.0,0.6896551724137931
217,68356,868,0.4583245296764649,0.0,0.717948717948718
218,68808,872,0.4886331993900524,0.0,0.75
219,69164,876,0.4874824670582665,0.0,0.7413793103448276
220,69680,880,0.3938194512849111,0.0,0.7923497267759563
221,69940,884,0.41177267245003135,0.0,0.7906976744186046
222,70200,888,0.5923587456411339,0.0,0.6716417910447762
223,70460,892,0.3589261861332921,0.0,0.7910447761194029
224,70912,896,0.4562727617233278,0.0,0.7751937984496124
225,71204,900,0.4694007471997672,0.0,0.7596153846153846
226,71592,904,0.24816863990277582,0.0,0.8367346938775511
227,72012,908,0.3814332136432228,0.0,0.7872340425531915
228,72336,912,0.5313891930500511,0.0,0.7238095238095238
229,72596,916,0.46574475796302184,0.0,0.6708860759493671
230,72760,920,0.6334990972899904,0.0,0.7230769230769231
231,73180,924,0.3868917714471363,0.0,0.7559055118110236
232,73632,928,0.4018371025068313,0.0,0.7733333333333333
233,74020,932,0.34807881848124617,0.0,0.7889908256880734
234,74344,936,0.392070198022232,0.0,0.7634408602150538
235,74892,940,0.2099880739187081,0.0,0.8230088495575221
236,75248,944,0.3786606465768379,0.0,0.7708333333333334
237,75668,948,0.4531704842975221,0.0,0.7375886524822695
238,76088,952,0.2199656366694899,0.0,0.7391304347826086
239,76348,956,0.5997953899023694,0.0,0.6351351351351351
240,76608,960,0.5183376224901025,0.0,0.6790123456790124
241,76804,964,0.5370135348948541,0.0,0.7808219178082192
242,77128,968,0.3941901465699475,0.0,0.7474747474747475
243,77484,972,0.3218139698905156,0.0,0.78125
244,77712,976,0.5097886548613841,0.0,0.7014925373134329
245,78004,980,0.3291153537097019,0.0,0.7671232876712328
246,78296,984,0.46088321607871546,0.0,0.8041237113402062
247,78524,988,0.6926027599165939,0.0,0.6923076923076923
248,78784,992,0.5414747029032299,0.0,0.7241379310344828
249,79044,996,0.3861657467601734,0.0,0.7534246575342466
250,79400,1000,0.4499957367117491,0.0,0.7867647058823529
251,79628,1004,0.45214495687245065,0.0,0.7671232876712328
252,79952,1008,0.4797533169754673,0.0,0.7767857142857143
253,80244,1012,0.49806053987953725,0.0,0.7920792079207921
254,80600,1016,0.433225400997355,0.0,0.7973856209150327
255,80956,1020,0.3516916394958565,0.0,0.7162162162162162
256,81216,1024,0.4552876193287895,0.0,0.7564102564102564
257,81540,1028,0.3510490797476976,0.0,0.7721518987341772
258,81736,1032,0.6637090274194631,0.0,0.7471264367816092
259,81964,1036,0.682797003959584,0.0,0.6989247311827957
260,82288,1040,0.43716004931633456,0.0,0.7757009345794392
261,82676,1044,0.41635316171795017,0.0,0.7744360902255639
262,82904,1048,0.5194966908869715,0.0,0.7236842105263158
263,83260,1052,0.49377902491762743,0.0,0.7043478260869566
264,83520,1056,0.5002356395552785,0.0,0.8053097345132744
265,83748,1060,0.5052680591798833,0.0,0.6883116883116883
266,83976,1064,0.557566000129306,0.0,0.676056338028169
267,84300,1068,0.6633327330627485,0.0,0.6792452830188679
268,84592,1072,0.4266930941378599,0.0,0.7641509433962265
269,84820,1076,0.37050492400938373,0.0,0.7692307692307693
270,85112,1080,0.37399110629148946,0.0,0.7402597402597403
271,85372,1084,0.4226566472117339,0.0,0.7375
272,85728,1088,0.5277766968825582,0.0,0.6818181818181818
273,86052,1092,0.36172618548781843,0.0,0.7872340425531915
274,86504,1096,0.42570898813078034,0.0,0.7517241379310344
275,86764,1100,0.3741562275738916,0.0,0.8
276,87056,1104,0.5465215980712175,0.0,0.7040816326530612
277,87412,1108,0.40930518410814315,0.0,0.8194444444444444
278,87896,1112,0.47048821591856355,0.0,0.7517241379310344
279,88156,1116,0.3478065282632151,0.0,0.7926829268292683
280,88544,1120,0.38254967349248536,0.0,0.8148148148148148
281,88836,1124,0.4829839915199315,0.0,0.6987951807228916
282,89096,1128,0.48506679336081104,0.0,0.6973684210526315
283,89388,1132,0.36848959417510696,0.0,0.7564102564102564
284,89712,1136,0.34945487134888126,0.0,0.7872340425531915
285,90068,1140,0.23714566635600923,0.0,0.7794117647058824
286,90488,1144,0.44319705407459015,0.0,0.7988505747126436
287,91100,1148,0.32349822719835225,0.0,0.8162162162162162
288,91360,1152,0.4298744951940552,0.0,0.7246376811594203
289,91748,1156,0.3951240696197231,0.0,0.7238095238095238
290,91976,1160,0.6160172504834848,0.0,0.7545454545454545
291,92364,1164,0.37659934332400735,0.0,0.7410714285714286
292,92720,1168,0.3230095163664068,0.0,0.759493670886076
293,93140,1172,0.31211033241198977,0.0,0.7909090909090909
294,93496,1176,0.4488092859565454,0.0,0.7647058823529411
295,93724,1180,0.56433008258757,0.0,0.7283950617283951
296,94112,1184,0.34217003468731244,0.0,0.7722772277227723
297,94308,1188,0.35564026190140585,0.0,0.8305084745762712
298,94632,1192,0.4585644409567605,0.0,0.7345132743362832
299,94956,1196,0.4571657195017494,0.0,0.7787610619469026
300,95376,1200,0.3444721285202581,0.0,0.7758620689655172
301,95668,1204,0.6060669996346911,0.0,0.7603305785123967
302,95896,1208,0.4991806870505939,0.0,0.7246376811594203
303,96220,1212,0.4183572423268476,0.0,0.7777777777777778
304,96544,1216,0.2760978691953887,0.0,0.8
305,96804,1220,0.48221759445869333,0.0,0.7553191489361702
306,97192,1224,0.2546510715868859,0.0,0.7924528301886793
307,97452,1228,0.6423165938593267,0.0,0.6881720430107527
308,97680,1232,0.6066288156348271,0.0,0.6708860759493671
309,97972,1236,0.2818168112195088,0.0,0.7936507936507936
310,98360,1240,0.2977596523311603,0.0,0.8073394495412844
311,98556,1244,0.6376670216246775,0.0,0.6470588235294118
312,98848,1248,0.32354386236884236,0.0,0.7464788732394366
313,99172,1252,0.43141487885088364,0.0,0.6790123456790124
314,99592,1256,0.43120664299973394,0.0,0.7407407407407407
315,99916,1260,0.40692476659088117,0.0,0.7066666666666667
316,100304,1264,0.36688058065475665,0.0,0.8067226890756303
317,100724,1268,0.42327906262835646,0.0,0.7573529411764706
318,101144,1272,0.27999189187522566,0.0,0.7864077669902912
319,101404,1276,0.37520616689356884,0.0,0.7837837837837838
320,101664,1280,0.6563123943080642,0.0,0.6736842105263158
321,101892,1284,0.40919799929104694,0.0,0.7307692307692307
322,102120,1288,0.6227925273824345,0.0,0.7745098039215687
323,102508,1292,0.2534493537710632,0.0,0.8137254901960784
324,102800,1296,0.3358407981556229,0.0,0.7733333333333333
325,103252,1300,0.4183431911868073,0.0,0.813953488372093
326,103544,1304,0.545942081075085,0.0,0.7142857142857143
327,103836,1308,0.5951273743906607,0.0,0.7383177570093458
328,104224,1312,0.3425768118788303,0.0,0.7596153846153846
329,104516,1316,0.25196828765132334,0.0,0.8153846153846154
330,104776,1320,0.3498348888894813,0.0,0.746031746031746
331,105196,1324,0.2881791164609916,0.0,0.8114754098360656
332,105488,1328,0.6204243164590939,0.0,0.627906976744186
333,105748,1332,0.3517363844353373,0.0,0.7721518987341772
334,106072,1336,0.6191426430976439,0.0,0.7024793388429752
335,106460,1340,0.3710163061777041,0.0,0.7878787878787878
336,106848,1344,0.4116955495976746,0.0,0.775
337,107108,1348,0.32711371005197887,0.0,0.7746478873239436
338,107432,1352,0.3698212237460418,0.0,0.717948717948718
339,107756,1356,0.3999191144944686,0.0,0.7946428571428571
340,108208,1360,0.3325324639897514,0.0,0.8012820512820513
341,108500,1364,0.33681547567451386,0.0,0.7536231884057971
342,108920,1368,0.24782386869338457,0.0,0.8
343,109212,1372,0.3104829572139661,0.0,0.7638888888888888
344,109504,1376,0.3805071586428445,0.0,0.7634408602150538
345,109764,1380,0.4862939109670901,0.0,0.6891891891891891
346,109992,1384,0.4582420784565223,0.0,0.7397260273972602
347,110220,1388,0.4218031825782038,0.0,0.7384615384615385
348,110544,1392,0.45584099403133826,0.0,0.7307692307692307
349,110932,1396,0.48447322062209275,0.0,0.7852760736196319
350,111448,1400,0.27198077447541563,0.0,0.7454545454545455
351,111708,1404,0.4303251566648974,0.0,0.7816091954022989
352,111904,1408,0.4990891208288534,0.0,0.8125
353,112292,1412,0.2229961113382005,0.0,0.8387096774193549
354,112488,1416,0.3830568901827367,0.0,0.7910447761194029
355,112876,1420,0.4076869821876807,0.0,0.7844827586206896
356,113168,1424,0.3945458531030368,0.0,0.7530864197530864
357,113588,1428,0.23776392328475537,0.0,0.8369565217391305
358,113848,1432,0.5819551877043472,0.0,0.6627906976744186
359,114140,1436,0.4860979072084564,0.0,0.75
360,114400,1440,0.45012716764939253,0.0,0.780952380952381
361,114564,1444,0.4133231250955725,0.0,0.7777777777777778
362,114984,1448,0.3545560835529067,0.0,0.7319587628865979
363,115244,1452,0.2695985051870372,0.0,0.7714285714285715
