step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
204,151648,1632,0.42704623618848764,0.0,0.8122605363984674
205,152296,1640,0.42400280735437973,0.0,0.7946768060836502
206,153008,1648,0.3632344186628667,0.0,0.7966101694915254
207,153912,1656,0.27834250320959475,0.0,0.7983870967741935
208,154560,1664,0.289839850340012,0.0,0.8190954773869347
209,155272,1672,0.25799741425849926,0.0,0.8356807511737089
210,156368,1680,0.20515096238397548,0.0,0.8116591928251121
211,156952,1688,0.39618540915640255,0.0,0.7958115183246073
212,157536,1696,0.4189537135933159,0.0,0.7715736040609137
213,158632,1704,0.20855882858098096,0.0,0.8067226890756303
214,159344,1712,0.37059412697736255,0.0,0.7616822429906542
215,160376,1720,0.22656858196361554,0.0,0.7949790794979079
216,161216,1728,0.2551924163130954,0.0,0.831275720164609
217,162056,1736,0.2799190368134957,0.0,0.8311688311688312
218,162896,1744,0.3008531493886717,0.0,0.7959183673469388
219,163416,1752,0.3072030617065602,0.0,0.8072289156626506
220,164256,1760,0.2392995958045361,0.0,0.8434782608695652
221,165096,1768,0.29464850519699015,0.0,0.8048780487804879
222,165616,1776,0.334580789945755,0.0,0.8358974358974359
223,166520,1784,0.23749937473024244,0.0,0.8438818565400844
224,167232,1792,0.24385051126785254,0.0,0.8181818181818182
225,167752,1800,0.5303292264716923,0.0,0.7692307692307693
226,168592,1808,0.20709992837889885,0.0,0.835820895522388
227,169432,1816,0.37812037905361773,0.0,0.7692307692307693
228,170272,1824,0.45789371342870655,0.0,0.7661870503597122
229,171112,1832,0.26468791495461724,0.0,0.8436363636363636
230,172016,1840,0.28591217574595656,0.0,0.8201438848920863
231,172856,1848,0.25971454370555247,0.0,0.8181818181818182
232,173504,1856,0.5209643699911528,0.0,0.7530864197530864
233,174408,1864,0.22446215198694233,0.0,0.8440366972477065
234,175056,1872,0.37876786278488767,0.0,0.7923497267759563
235,175960,1880,0.22292151459435086,0.0,0.8153846153846154
236,176800,1888,0.24219321294756016,0.0,0.8491379310344828
237,177448,1896,0.38768795686948154,0.0,0.786046511627907
238,178160,1904,0.38403015743546015,0.0,0.7511520737327189
239,178744,1912,0.37963273962891686,0.0,0.79
240,179456,1920,0.2858869797374475,0.0,0.8059701492537313
241,180296,1928,0.23107631553234592,0.0,0.8326359832635983
242,180880,1936,0.43564764680849677,0.0,0.7783018867924528
243,181528,1944,0.2749743430062768,0.0,0.8325358851674641
244,182368,1952,0.27374923629191367,0.0,0.7955555555555556
245,183080,1960,0.40556104960613104,0.0,0.7870722433460076
246,183728,1968,0.34242288593917064,0.0,0.8412017167381974
247,184376,1976,0.3790431166391289,0.0,0.7908163265306123
248,185088,1984,0.3740850691675179,0.0,0.7682926829268293
249,185672,1992,0.23709500918934268,0.0,0.8406593406593407
250,186320,2000,0.27653686641373404,0.0,0.84
251,186904,2008,0.5019700518502778,0.0,0.7706422018348624
252,187488,2016,0.595526769652554,0.0,0.7570093457943925
253,188136,2024,0.2036419144203146,0.0,0.8633540372670807
254,188848,2032,0.3495144559222773,0.0,0.8060344827586207
255,189432,2040,0.4015888887726327,0.0,0.7777777777777778
256,190144,2048,0.33356050934339804,0.0,0.7802690582959642
257,190984,2056,0.35483224195211494,0.0,0.8064516129032258
258,191632,2064,0.3904501731931778,0.0,0.7792792792792793
259,192600,2072,0.24418179691351263,0.0,0.8229665071770335
260,193184,2080,0.283722412158135,0.0,0.8232044198895028
261,193832,2088,0.24899748228691276,0.0,0.8143712574850299
262,194480,2096,0.2927847064224081,0.0,0.8530805687203792
263,195256,2104,0.23770250701495857,0.0,0.7944444444444444
264,195968,2112,0.3921952840669201,0.0,0.796812749003984
265,196616,2120,0.29345056352744137,0.0,0.8
266,197456,2128,0.1943987381605104,0.0,0.8255813953488372
267,198168,2136,0.32905181596365957,0.0,0.7931034482758621
268,199072,2144,0.2558983473631244,0.0,0.8358778625954199
269,199848,2152,0.4042547018228199,0.0,0.8049792531120332
270,200624,2160,0.20712714915518582,0.0,0.8323699421965318
271,201336,2168,0.2981528879594663,0.0,0.83984375
272,202304,2176,0.27783755991975484,0.0,0.8327137546468402
273,202952,2184,0.33173171656349376,0.0,0.827906976744186
274,203792,2192,0.25377866037311453,0.0,0.8227272727272728
275,204312,2200,0.2929252683189179,0.0,0.8457446808510638
276,205088,2208,0.3579002692944226,0.0,0.7959183673469388
277,205736,2216,0.2803567397806904,0.0,0.8601694915254238
278,206768,2224,0.2112783491148269,0.0,0.7927461139896373
279,207352,2232,0.29280039879016495,0.0,0.8072289156626506
280,208000,2240,0.2841431875619113,0.0,0.7932960893854749
281,208712,2248,0.3495868083254657,0.0,0.7952755905511811
282,209424,2256,0.26692940039474816,0.0,0.7989130434782609
283,210328,2264,0.23555696602257545,0.0,0.8181818181818182
284,210976,2272,0.2642076044226541,0.0,0.8235294117647058
285,211560,2280,0.35460740232668225,0.0,0.839572192513369
286,212336,2288,0.21379474657222994,0.0,0.8385416666666666
